school_id,site_id,unit_cost
S0,C0,9.37
S0,C1,9.11
S0,C2,5.93
S0,C3,2.76
S0,C4,7.09
S0,C5,2.59
S0,C6,7.65
S0,C7,5.29
S0,C8,5.16
S0,C9,5.93
S0,C10,5.02
S1,C0,2.11
S1,C1,6.73
S1,C2,2.25
S1,C3,4.65
S1,C4,2.86
S1,C5,6.13
S1,C6,2.71
S1,C7,3.69
S1,C8,2.36
S1,C9,1.49
S1,C10,2.85
S2,C0,7.52
S2,C1,5.72
S2,C2,4.99
S2,C3,2.33
S2,C4,6.45
S2,C5,0.94
S2,C6,4.66
S2,C7,2.17
S2,C8,3.12
S2,C9,4.06
S2,C10,4.27
S3,C0,5.24
S3,C1,3.15
S3,C2,6.32
S3,C3,7.03
S3,C4,7.21
S3,C5,7.08
S3,C6,1.95
S3,C7,4.07
S3,C8,4.87
S3,C9,4.8
S3,C10,6.52
S4,C0,10.07
S4,C1,4.55
S4,C2,8.3
S4,C3,5.89
S4,C4,9.76
S4,C5,3.77
S4,C6,6.2
S4,C7,4.4
S4,C8,6.18
S4,C9,7.03
S4,C10,7.7
